price,price_per_person,price_bucket,minimum_nights,availability_365,instant_bookable,property_type,room_type,room_type_category,accommodates,bedrooms,beds,neighbourhood_cleansed,is_central,latitude,longitude,host_is_superhost,host_experience_level,host_response_rate,host_acceptance_rate,host_since,first_review,last_review,review_scores_cleanliness,review_scores_rating,rating_category,number_of_reviews,reviews_per_month,days_since_last_review,review_scores_checkin,review_scores_communication,review_scores_location,listing_age_days,has_wifi,has_kitchen,has_ac,has_breakfast,has_elevator,has_pool
1600.0,400.0,Affordable,3,134,0,Entire home,Entire home/apt,Entire,4,2.0,4.0,Bang Sue,0,13.83235,100.5228,1.0,Expert,100.0,100.0,2011-07-15,2013-02-22,2024-10-27,4.81,4.88,Excellent,53,0.37,204.0,4.96,5.0,4.44,4469,1,1,1,0,0,1
1673.0,836.5,Affordable,30,126,0,Entire rental unit,Entire home/apt,Entire,2,1.0,1.0,Khlong Toei,1,13.72242,100.57962,1.0,Expert,100.0,88.0,2013-03-09,2013-09-18,2024-12-08,4.88,4.86,Excellent,86,0.63,162.0,4.96,4.98,4.96,4261,1,1,0,0,1,0
1001.0,333.6666666666667,Affordable,1,282,1,Entire loft,Entire home/apt,Entire,3,2.0,1.0,Sathon,1,13.71506,100.51319,0.0,Expert,100.0,98.0,2012-04-13,2013-08-01,2024-12-10,4.59,4.4,Good,135,0.97,160.0,4.62,4.67,4.32,4309,1,1,1,0,0,0
888.0,444.0,Budget,7,46,0,Entire rental unit,Entire home/apt,Entire,2,0.0,1.0,Huai Khwang,1,13.74538,100.59943,1.0,Expert,100.0,95.0,2013-07-04,2013-07-30,2024-10-31,4.8,4.72,Good,64,0.46,200.0,4.87,4.89,4.19,4311,1,1,1,0,1,0
2873.0,718.25,Affordable,5,208,0,Entire condo,Entire home/apt,Entire,4,2.0,3.0,Khlong Toei,1,13.72393,100.57647,0.0,Expert,100.0,98.0,2013-07-07,2015-12-23,2024-12-23,4.61,4.73,Good,56,0.51,147.0,4.86,4.86,4.95,3435,0,1,0,0,1,0
922.0,461.0,Budget,28,349,0,Entire condo,Entire home/apt,Entire,2,1.0,1.0,Yan na wa,0,13.67907,100.52887,1.0,Expert,100.0,100.0,2012-12-23,2014-11-11,2024-04-30,4.61,4.32,Good,28,0.23,384.0,4.59,4.61,3.74,3842,0,1,1,0,1,1
1050.0,350.0,Affordable,3,152,0,Entire guesthouse,Entire home/apt,Entire,3,1.0,3.0,Bang Sue,0,13.82955,100.52119,1.0,Expert,100.0,100.0,2011-07-15,,,0.0,0.0,No Rating,0,0.0,-1.0,0.0,0.0,0.0,-1,1,1,1,0,0,1
3500.0,1750.0,Standard,2,362,0,Private room in rental unit,Private room,Private,2,1.0,1.0,Thawi Watthana,0,13.79109,100.33362,0.0,Expert,100.0,100.0,2012-11-11,,,0.0,0.0,No Rating,0,0.0,-1.0,0.0,0.0,0.0,-1,1,0,1,1,0,1
2200.0,733.3333333333334,Affordable,29,244,0,Private room in condo,Private room,Private,3,1.0,1.0,Khlong Toei,1,13.73093,100.5644,1.0,Expert,100.0,68.0,2011-11-20,2013-02-03,2017-03-05,5.0,5.0,Excellent,3,0.02,2997.0,5.0,5.0,5.0,4488,1,1,1,0,1,0
850.0,425.0,Budget,1,364,0,Private room in rental unit,Private room,Private,2,1.0,1.0,Suanluang,0,13.73789,100.64271,0.0,Expert,95.0,80.0,2013-07-15,2016-12-04,2024-07-19,4.58,3.92,Fair,13,0.13,304.0,4.17,3.67,4.17,3088,1,0,1,0,1,1
1050.0,525.0,Affordable,1,365,0,Private room in rental unit,Private room,Private,2,1.0,1.0,Suanluang,0,13.73613,100.64319,0.0,Expert,95.0,80.0,2013-07-15,,,0.0,0.0,No Rating,0,0.0,-1.0,0.0,0.0,0.0,-1,1,0,1,0,1,0
700.0,350.0,Budget,1,365,0,Private room in rental unit,Private room,Private,2,1.0,1.0,Bueng Kum,0,13.78327,100.67124,0.0,Expert,95.0,80.0,2013-07-15,2019-06-19,2019-09-19,5.0,5.0,Excellent,3,0.04,2069.0,5.0,5.0,4.0,2161,1,0,1,0,0,0
1050.0,525.0,Affordable,1,365,1,Private room in rental unit,Private room,Private,2,1.0,1.0,Bang Phlat,0,13.80657,100.51192,0.0,Expert,95.0,80.0,2013-07-15,,,0.0,0.0,No Rating,0,0.0,-1.0,0.0,0.0,0.0,-1,1,0,1,0,1,1
1049.0,1049.0,Affordable,3,354,0,Private room in rental unit,Private room,Private,1,1.0,1.0,Vadhana,1,13.73862,100.585,0.0,Expert,0.0,0.0,2011-05-11,2014-01-01,2014-01-01,5.0,5.0,Excellent,1,0.01,4156.0,5.0,5.0,5.0,4156,1,1,1,1,1,1
1878.0,626.0,Affordable,1,359,1,Private room in serviced apartment,Private room,Private,3,1.0,1.0,Bang Kapi,0,13.7703,100.63148,0.0,Expert,100.0,93.0,2011-05-21,,,0.0,0.0,No Rating,0,0.0,-1.0,0.0,0.0,0.0,-1,1,1,1,1,1,0
